,closeDateTime,customerCode,onTimeSolution
9204,1546441320,2581,S
9205,1546443480,2581,S
9209,1546444500,2581,S
9798,1546447440,2581,S
9201,1546449840,2581,S
8990,1546452840,2581,S
9203,1546454880,2581,S
9793,1546454880,2581,S
9790,1546456260,2581,S
9796,1546456680,2581,S
9801,1546458000,2581,S
9731,1546460280,2581,S
9191,1546461180,2581,S
9795,1546462800,2581,S
9783,1546464000,2581,S
9788,1546465200,2581,S
9192,1546466160,2581,S
9112,1546466340,2581,S
9794,1546467120,2581,S
9773,1546469160,2581,"ISODate(""2019-01-02T12:01:00.000-02:00"")"
9735,1546473600,2581,S
9726,1546524840,2581,S
9739,1546527000,2581,S
9699,1546529220,2581,S
9792,1546538640,2581,S
9724,1546539420,2581,S
9721,1546542780,2581,S
9725,1546543860,2581,S
9730,1546545720,2581,S
9677,1546547100,2581,S
9678,1546548420,2581,S
8961,1546548660,2581,S
9738,1546550460,2581,S
9676,1546550880,2581,S
9722,1546553520,2581,S
9671,1546611360,2581,S
9673,1546614420,2581,S
9672,1546614600,2581,S
9670,1546617180,2581,N
9668,1546617600,2581,S
9660,1546618020,2581,S
9669,1546619340,2581,N
9675,1546622580,2581,S
9654,1546623480,2581,S
9666,1546626180,2581,S
9653,1546626360,2581,S
9787,1546629420,2581,S
9791,1546629720,2581,S
9740,1546629780,2581,
9650,1546631520,2581,S
9786,1546631880,2581,S
9785,1546631940,2581,S
9784,1546632300,2581,S
9648,1546632360,2581,"ISODate(""2019-01-04T11:24:00.000-02:00"")"
9782,1546632420,2581,S
9781,1546632720,2581,S
9780,1546632840,2581,S
9779,1546633020,2581,S
9778,1546633080,2581,S
9777,1546633200,2581,S
9775,1546633320,2581,S
9774,1546633380,2581,S
9772,1546633560,2581,S
9771,1546633860,2581,S
9770,1546633980,2581,S
9769,1546634040,2581,S
9768,1546634220,2581,S
9767,1546634280,2581,S
9745,1546634400,2581,S
9744,1546634940,2581,S
9766,1546635060,2581,S
9765,1546635420,2581,S
9764,1546635600,2581,S
9664,1546637160,2581,S
9763,1546637520,2581,S
9762,1546637640,2581,S
9761,1546637820,2581,S
9727,1546637880,2581,S
9723,1546638780,2581,S
8829,1546638780,2581,S
9649,1546639080,2581,S
9645,1546639260,2581,
9760,1546639740,2581,S
9729,1546640160,2581,S
9758,1546641360,2581,S
9757,1546641540,2581,S
9756,1546641840,2581,S
9755,1546641960,2581,S
9746,1546642140,2581,S
9754,1546642320,2581,S
9753,1546642620,2581,S
9641,1546870500,2581,S
9655,1546872540,2581,S
9752,1546873920,2581,S
9751,1546873980,2581,S
9750,1546874100,2581,S
9640,1546874280,2581,S
9749,1546874460,2581,S
9748,1546875420,2581,S
9747,1546875540,2581,S
9061,1546876080,2581,S
9644,1546876320,2581,S
9665,1546876860,2581,S
9651,1546880040,2581,S
9638,1546880520,2581,S
9636,1546885080,2581,S
9140,1546885080,2581,S
9126,1546890480,2581,S
9642,1546894320,2581,S
9647,1546895460,2581,S
8995,1546896480,2581,S
9639,1546897380,2581,S
9661,1546899840,2581,S
9733,1546900140,2581,S
9667,1546901280,2581,S
9658,1546901760,2581,S
8968,1546901820,2581,S
9656,1546902540,2581,S
9657,1546907520,2581,S
9659,1546909140,2581,S
8972,1546956120,2581,S
9214,1546956420,2581,S
9213,1546958820,2581,S
9212,1546959660,2581,S
9605,1546960560,2581,S
9652,1546963680,2581,S
9674,1546963740,2581,S
9643,1546965840,2581,S
9219,1546965900,2581,S
9221,1546966680,2581,S
8939,1546967580,2581,S
8821,1546970340,2581,S
9620,1546975380,2581,S
9217,1546980600,2581,S
9218,1546980660,2581,S
9215,1546983660,2581,S
9229,1546988520,2581,S
9222,1546988940,2581,S
9225,1546991460,2581,S
9226,1546993200,2581,S
9224,1547043840,2581,S
9220,1547044320,2581,S
9210,1547046300,2581,S
9193,1547046360,2581,S
9185,1547056740,2581,N
9223,1547060340,2581,S
9241,1547064780,2581,S
9244,1547064900,2581,S
9243,1547065680,2581,S
9216,1547068680,2581,S
9240,1547071740,2581,S
9250,1547073840,2581,S
8941,1547075580,2581,S
9168,1547077680,2581,S
9249,1547128800,2581,S
9227,1547131500,2581,S
9235,1547137320,2581,S
9254,1547137560,2581,S
9237,1547139240,2581,S
9247,1547141100,2581,S
9255,1547141220,2581,S
9611,1547141340,2581,S
9248,1547141880,2581,S
9253,1547142300,2581,S
9230,1547147160,2581,S
9252,1547148060,2581,S
9257,1547151420,2581,S
9238,1547152080,2581,S
9258,1547153700,2581,S
9262,1547154360,2581,S
9259,1547155260,2581,S
8915,1547155500,2581,N
9260,1547157240,2581,S
9233,1547158140,2581,S
9734,1547158800,2581,S
9264,1547161140,2581,S
9231,1547167320,2581,S
8932,1547170200,2581,S
