,closeDateTime,customerCode,onTimeSolution
21383,1549036620,39159,N
21258,1549038480,39159,N
21390,1549040340,39159,S
21176,1549040760,39159,N
21419,1549040760,39159,S
21295,1549043100,39159,N
21386,1549044000,39159,N
21405,1549044240,39159,S
21157,1549044360,39159,N
21397,1549044420,39159,N
21296,1549044720,39159,N
21173,1549045080,39159,N
21387,1549045980,39159,S
21398,1549047660,39159,S
21380,1549047960,39159,N
21352,1549049580,39159,N
21388,1549050600,39159,S
21158,1549050780,39159,N
21344,1549050900,39159,N
21378,1549055520,39159,N
21159,1549056240,39159,N
21348,1549056480,39159,N
20898,1549057080,39159,S
20895,1549057980,39159,S
21167,1549058040,39159,N
20904,1549060080,39159,N
20899,1549063740,39159,S
20900,1549064220,39159,S
20893,1549128840,39159,S
21140,1549131300,39159,N
20887,1549138080,39159,S
20884,1549142220,39159,S
21420,1549154460,39159,
21144,1549292100,39159,S
21168,1549293240,39159,N
20879,1549294680,39159,S
21421,1549295940,39159,S
21302,1549298460,39159,N
20891,1549299480,39159,S
21381,1549299540,39159,S
21396,1549300920,39159,S
21146,1549301340,39159,N
20878,1549302660,39159,N
21347,1549302900,39159,N
21391,1549302960,39159,N
21392,1549302960,39159,N
20284,1549303020,39159,N
21332,1549303020,39159,N
20865,1549303620,39159,S
21070,1549306020,39159,N
20896,1549306140,39159,N
20873,1549306500,39159,N
21180,1549306800,39159,N
21150,1549307880,39159,N
20874,1549308120,39159,N
20889,1549311300,39159,S
21232,1549314480,39159,N
20872,1549316580,39159,S
20868,1549317360,39159,S
21191,1549317960,39159,N
20881,1549318020,39159,S
20875,1549318860,39159,N
20877,1549328040,39159,S
20861,1549328820,39159,S
21095,1549381860,39159,N
20897,1549385580,39159,N
20880,1549385880,39159,S
21368,1549387200,39159,S
21399,1549388700,39159,S
21924,1549391340,39159,N
20846,1549395720,39159,S
20854,1549396740,39159,S
20850,1549398840,39159,S
21130,1549399380,39159,N
20870,1549402800,39159,S
20858,1549403580,39159,S
20837,1549405860,39159,S
21346,1549406280,39159,N
20882,1549406520,39159,N
20834,1549411020,39159,S
21339,1549420020,39159,N
20821,1549463040,39159,S
20822,1549464600,39159,S
21196,1549465020,39159,S
20830,1549465320,39159,S
20835,1549467540,39159,N
20827,1549469280,39159,S
20855,1549472760,39159,S
20813,1549474260,39159,S
20829,1549474680,39159,S
21172,1549475460,39159,S
20871,1549476600,39159,N
20848,1549476600,39159,S
20817,1549478580,39159,S
