,closeDateTime,customerCode,onTimeSolution
34819,1546360980,372301,S
43044,1546368000,372301,S
34828,1546371840,372301,S
43053,1546377840,372301,S
34829,1546380660,372301,S
42982,1546434780,372301,S
15834,1546436160,3363,S
34374,1546436220,372301,S
17518,1546437180,8068,N
15821,1546437180,3363,S
15826,1546437420,3363,S
33876,1546437480,372301,S
3579,1546437480,215,S
3912,1546437660,215,S
15830,1546437900,3363,S
33499,1546438200,372301,N
34652,1546438260,372301,N
12511,1546438380,3363,S
3285,1546438560,215,S
15786,1546438740,3363,S
17638,1546438800,8068,N
15820,1546438980,3363,S
17596,1546439760,8068,N
17562,1546439760,8068,S
24501,1546439940,87520,S
3995,1546440060,215,S
12589,1546440180,3363,S
15816,1546440360,3363,S
3892,1546440660,215,S
34815,1546440720,372301,S
3927,1546440720,215,S
16804,1546440720,8068,S
3889,1546440960,215,S
42888,1546441020,372301,S
34648,1546441260,372301,N
15818,1546441320,3363,S
3914,1546441320,215,S
9204,1546441320,2581,S
3711,1546441440,215,
4000,1546441500,215,S
17387,1546441560,8068,N
24541,1546441680,87520,N
3845,1546441740,215,S
34618,1546441800,372301,N
34504,1546441860,372301,S
33363,1546441920,372301,N
34577,1546441920,372301,N
17352,1546441920,8068,N
17546,1546441980,8068,N
15817,1546442040,3363,S
24554,1546442160,87520,S
3925,1546442220,215,S
24534,1546442280,87520,N
3887,1546442280,215,S
24392,1546442280,87520,N
3905,1546442340,215,N
4024,1546442340,215,S
34669,1546442580,372301,N
15763,1546442640,3363,S
15806,1546442640,3363,S
3884,1546442700,215,S
34678,1546442700,372301,S
3659,1546442700,215,S
24559,1546442760,87520,N
15822,1546442820,3363,S
4020,1546442880,215,S
3834,1546443000,215,S
15819,1546443000,3363,S
34265,1546443060,372301,N
17389,1546443060,8068,N
34816,1546443180,372301,S
16312,1546443360,8068,N
17531,1546443420,8068,N
3916,1546443420,215,S
9205,1546443480,2581,S
34327,1546443540,372301,S
12488,1546443660,3363,S
17341,1546443660,8068,N
3541,1546443660,215,S
34485,1546443720,372301,S
34797,1546443900,372301,S
43008,1546444020,372301,S
2783,1546444020,215,N
32109,1546444140,372301,N
3978,1546444200,215,N
11999,1546444260,3363,S
12504,1546444260,3363,S
12364,1546444260,3363,S
34710,1546444320,372301,N
12429,1546444320,3363,S
34809,1546444380,372301,S
9209,1546444500,2581,S
2469,1546444500,215,S
32674,1546444560,372301,N
34000,1546444560,372301,S
24046,1546444560,87520,N
3890,1546444740,215,N
15758,1546444860,3363,S
3566,1546444980,215,S
3671,1546445040,215,S
42819,1546445100,372301,S
3574,1546445100,215,S
3838,1546445100,215,S
12051,1546445160,3363,S
12423,1546445160,3363,S
42909,1546445220,372301,S
34687,1546445220,372301,N
42871,1546445220,372301,S
34573,1546445280,372301,N
4022,1546445340,215,S
24399,1546445400,87520,N
4016,1546445400,215,S
34571,1546445400,372301,S
12544,1546445460,3363,S
12534,1546445460,3363,S
33920,1546445520,372301,N
4018,1546445580,215,S
3867,1546445700,215,S
3911,1546445760,215,S
3918,1546445760,215,S
27730,1546445820,87520,S
2929,1546445820,215,S
3900,1546445820,215,S
12343,1546445880,3363,S
3219,1546445880,215,N
