,closeDateTime,customerCode,onTimeSolution
43075,1549037220,797391,S
43089,1549049400,797391,S
43073,1549294680,797391,S
43090,1549327620,797391,S
43074,1549378620,797391,N
43071,1549384980,797391,S
43072,1549400340,797391,S
43070,1550178660,797391,S
43069,1550258820,797391,S
43068,1550598540,797391,S
43066,1550612220,797391,S
43061,1550619600,797391,S
43067,1550619960,797391,S
43058,1550683920,797391,S
43057,1550684040,797391,S
43056,1550684340,797391,S
43059,1550686140,797391,S
43093,1550795580,797391,S
43091,1550851980,797391,S
43054,1550856060,797391,S
43055,1550870280,797391,S
43092,1550873040,797391,S
43060,1550873340,797391,N
