,closeDateTime,customerCode,onTimeSolution
1,1550862060,215,S
2,1550859060,215,S
5,1550870760,215,S
6,1550861460,215,S
7,1547833620,215,N
9,1546882020,215,N
10,1547068860,215,N
12,1550870100,215,S
13,1547049120,215,N
14,1550869260,215,S
15,1546813740,215,S
17,1550852820,215,S
18,1550869500,215,S
20,1548946260,215,S
22,1550933940,215,N
24,1551207660,215,N
25,1550857380,215,S
28,1550853540,215,S
29,1550847420,215,S
30,1546968720,215,N
31,1546874700,215,S
32,1551208200,215,N
33,1546896300,215,S
34,1550851980,215,S
35,1550851080,215,S
36,1546793520,215,S
38,1546799580,215,S
40,1550846760,215,S
41,1546900740,215,S
43,1550873400,215,S
44,1550864820,215,S
45,1546788720,215,S
47,1550850600,215,S
49,1550861880,215,S
50,1551142500,215,S
51,1551143880,215,S
52,1551144720,215,S
53,1550789580,215,S
54,1550850300,215,S
55,1550850060,215,S
56,1551138180,215,S
57,1550851500,215,S
59,1550865300,215,S
60,1551137580,215,S
61,1551128580,215,S
64,1550851080,215,S
65,1550854380,215,S
66,1550775360,215,S
67,1550764020,215,S
68,1551209340,215,S
69,1550697900,215,S
70,1550703900,215,S
72,1550774400,215,S
73,1550698740,215,S
75,1550763600,215,S
76,1551125580,215,N
78,1550703960,215,S
79,1550700780,215,S
80,1551135360,215,S
81,1550872620,215,S
82,1550699700,215,S
83,1548106980,215,N
85,1550700900,215,S
86,1550849040,215,S
87,1550692980,215,S
89,1550703420,215,S
91,1551134880,215,S
92,1550760240,215,S
93,1550770980,215,S
94,1550702820,215,S
95,1551027540,215,S
96,1550766060,215,S
98,1550694840,215,S
99,1550877900,215,S
100,1550772420,215,S
101,1550697360,215,S
102,1550691300,215,S
103,1550686260,215,S
105,1551135060,215,S
107,1550872260,215,N
108,1550688420,215,S
109,1550690700,215,S
110,1550695260,215,S
111,1550705880,215,S
113,1550871300,215,S
114,1550773680,215,S
115,1550766540,215,N
117,1551116220,215,S
118,1550761320,215,S
119,1550703540,215,S
120,1551205680,215,S
121,1551029400,215,
122,1551028860,215,
123,1550704920,215,S
124,1550763840,215,S
125,1550767620,215,S
126,1551030600,215,
127,1550883420,215,
130,1550770680,215,N
131,1551047520,215,S
132,1550890200,215,S
135,1551126960,215,S
138,1550692920,215,S
139,1550793900,215,S
141,1551204240,215,S
142,1550687040,215,S
143,1551114660,215,S
145,1550702040,215,S
146,1550966940,215,N
147,1550680860,215,S
149,1551107880,215,N
150,1550709600,215,N
